CompanyName,RegionDescription,Year,# Orders
Ernst Handel,Eastern                                           ,1996,4
Wartian Herkku,Eastern                                           ,1996,3
Magazzini Alimentari Riuniti,Eastern                                           ,1996,2
QUICK-Stop,Eastern                                           ,1996,4
Tradição Hipermercados,Eastern                                           ,1996,1
Tortuga Restaurante,Eastern                                           ,1996,2
Romero y tomillo,Eastern                                           ,1996,3
Du monde entier,Eastern                                           ,1996,1
Rattlesnake Canyon Grocery,Eastern                                           ,1996,3
Königlich Essen,Eastern                                           ,1996,2
Bon app',Eastern                                           ,1996,1
LILA-Supermercado,Eastern                                           ,1996,1
Eastern Connection,Eastern                                           ,1996,1
La maison d'Asie,Eastern                                           ,1996,2
Wolski  Zajazd,Eastern                                           ,1996,1
Mère Paillarde,Eastern                                           ,1996,2
Seven Seas Imports,Eastern                                           ,1996,3
Split Rail Beer & Ale,Eastern                                           ,1996,2
Santé Gourmet,Eastern                                           ,1996,1
Save-a-lot Markets,Eastern                                           ,1996,2
Hungry Coyote Import Store,Eastern                                           ,1996,1
Frankenversand,Eastern                                           ,1996,4
Eastern Connection,Eastern                                           ,1997,2
Rattlesnake Canyon Grocery,Eastern                                           ,1997,5
LINO-Delicateses,Eastern                                           ,1997,2
Around the Horn,Eastern                                           ,1997,5
LILA-Supermercado,Eastern                                           ,1997,3
Vaffeljernet,Eastern                                           ,1997,3
White Clover Markets,Eastern                                           ,1997,3
Island Trading,Eastern                                           ,1997,5
Lazy K Kountry Store,Eastern                                           ,1997,1
HILARION-Abastos,Eastern                                           ,1997,4
Ottilies Käseladen,Eastern                                           ,1997,5
Berglunds snabbköp,Eastern                                           ,1997,5
Bon app',Eastern                                           ,1997,6
Richter Supermarkt,Eastern                                           ,1997,2
Königlich Essen,Eastern                                           ,1997,4
Victuailles en stock,Eastern                                           ,1997,3
Reggiani Caseifici,Eastern                                           ,1997,3
Hungry Owl All-Night Grocers,Eastern                                           ,1997,2
Let's Stop N Shop,Eastern                                           ,1997,1
Que Delícia,Eastern                                           ,1997,2
Furia Bacalhau e Frutos do Mar,Eastern                                           ,1997,4
Mère Paillarde,Eastern                                           ,1997,3
Save-a-lot Markets,Eastern                                           ,1997,7
Great Lakes Food Market,Eastern                                           ,1997,2
Frankenversand,Eastern                                           ,1997,4
Lonesome Pine Restaurant,Eastern                                           ,1997,2
Die Wandernde Kuh,Eastern                                           ,1997,2
France restauration,Eastern                                           ,1997,1
Antonio Moreno Taquería,Eastern                                           ,1997,2
Old World Delicatessen,Eastern                                           ,1997,1
Hanari Carnes,Eastern                                           ,1997,4
Gourmet Lanchonetes,Eastern                                           ,1997,4
Franchi S.p.A.,Eastern                                           ,1997,3
Chop-suey Chinese,Eastern                                           ,1997,1
Ernst Handel,Eastern                                           ,1997,6
GROSELLA-Restaurante,Eastern                                           ,1997,1
