EmployeeID,RegionDescription,CompanyName,Year,Month,Total Quantity,Total Sales
7,Western                                           ,Ana Trujillo Emparedados y helados,1996,September,6,88.8
3,Southern                                          ,Antonio Moreno Taquería,1996,November,24,403.2
8,Northern                                          ,Around the Horn,1996,December,55,899
6,Western                                           ,Around the Horn,1996,November,50,480
7,Western                                           ,B's Beverages,1996,August,39,479.4
8,Northern                                          ,Berglunds snabbköp,1996,August,64,1488.8
2,Eastern                                           ,Berglunds snabbköp,1996,August,62,613.2
3,Southern                                          ,Berglunds snabbköp,1996,December,43,2222.4
4,Eastern                                           ,Blondesddsl père et fils,1996,November,138,7390.2
2,Eastern                                           ,Blondesddsl père et fils,1996,July,50,1176
5,Eastern                                           ,Blondesddsl père et fils,1996,September,80,1420
9,Northern                                          ,Bon app',1996,October,15,88.5
1,Eastern                                           ,Bon app',1996,October,72,2436.179998
3,Southern                                          ,Bon app',1996,November,94,1549.6
4,Eastern                                           ,Bottom-Dollar Markets,1996,December,81,1832.8
4,Eastern                                           ,Bólido Comidas preparadas,1996,October,90,982
4,Eastern                                           ,Centro comercial Moctezuma,1996,July,11,100.8
5,Eastern                                           ,Chop-suey Chinese,1996,July,57,556.6199973
6,Western                                           ,Chop-suey Chinese,1996,December,65,1117.599998
8,Northern                                          ,Comércio Mineiro,1996,August,60,2169
4,Eastern                                           ,Die Wandernde Kuh,1996,November,40,363.5999987
2,Eastern                                           ,Die Wandernde Kuh,1996,September,58,1614.8
6,Western                                           ,Die Wandernde Kuh,1996,November,62,1106.4
8,Northern                                          ,Die Wandernde Kuh,1996,September,30,755
3,Southern                                          ,Drachenblut Delikatessen,1996,December,18,86.4
4,Eastern                                           ,Drachenblut Delikatessen,1996,November,44,447.2
1,Eastern                                           ,Du monde entier,1996,September,13,268.8
1,Eastern                                           ,Eastern Connection,1996,November,35,950
9,Northern                                          ,Ernst Handel,1996,July,184,1873.8
2,Eastern                                           ,Ernst Handel,1996,November,78,1689.779998
4,Eastern                                           ,Ernst Handel,1996,December,165,2900
6,Western                                           ,Ernst Handel,1996,December,169,2090.879997
1,Eastern                                           ,Ernst Handel,1996,July,121,1614.879994
1,Eastern                                           ,Ernst Handel,1996,November,120,5398.724996
4,Eastern                                           ,Familia Arquibaldo,1996,November,70,814.4199955
9,Northern                                          ,Familia Arquibaldo,1996,December,25,166
5,Eastern                                           ,Folk och fä HB,1996,December,6,103.2
2,Eastern                                           ,Folk och fä HB,1996,October,140,1809.999993
6,Western                                           ,Folk och fä HB,1996,July,60,695.6249989
1,Eastern                                           ,Frankenversand,1996,December,121,1903.8
4,Eastern                                           ,Frankenversand,1996,July,135,3536.59998
4,Eastern                                           ,Frankenversand,1996,October,297,4307.639993
3,Southern                                          ,Furia Bacalhau e Frutos do Mar,1996,November,30,136.2999993
4,Eastern                                           ,Furia Bacalhau e Frutos do Mar,1996,October,59,1168
8,Northern                                          ,GROSELLA-Restaurante,1996,July,14,1101.2
