EmployeeID,RegionDescription,Company Name,Year,Month,Total Quantity,Total Sales
1,Eastern                                           ,Alfreds Futterkiste,1998,March,18,471.1999997
1,Eastern                                           ,Alfreds Futterkiste,1998,January,17,845.7999999
3,Southern                                          ,Alfreds Futterkiste,1998,April,60,933.4999996
4,Eastern                                           ,Ana Trujillo Emparedados y helados,1998,March,29,514.4
3,Southern                                          ,Antonio Moreno Taquería,1998,January,40,660
4,Eastern                                           ,Around the Horn,1998,February,19,282
9,Northern                                          ,Around the Horn,1998,April,31,491.5
9,Northern                                          ,Around the Horn,1998,March,100,4441.249997
4,Eastern                                           ,Around the Horn,1998,March,24,390
3,Southern                                          ,B's Beverages,1998,March,4,220
1,Eastern                                           ,B's Beverages,1998,April,34,1500
4,Eastern                                           ,B's Beverages,1998,March,51,711
9,Northern                                          ,Berglunds snabbköp,1998,January,92,1064.5
4,Eastern                                           ,Berglunds snabbköp,1998,February,61,709.5499997
8,Northern                                          ,Berglunds snabbköp,1998,January,75,2048.2125
5,Eastern                                           ,Berglunds snabbköp,1998,February,67,1096.2
3,Southern                                          ,Berglunds snabbköp,1998,March,56,1835.699997
9,Northern                                          ,Blauer See Delikatessen,1998,January,10,625
6,Western                                           ,Blauer See Delikatessen,1998,March,34,677
9,Northern                                          ,Blauer See Delikatessen,1998,April,28,858
6,Western                                           ,Blondesddsl père et fils,1998,January,50,730
7,Western                                           ,Bon app',1998,February,41,917
8,Northern                                          ,Bon app',1998,March,108,2148.629998
9,Northern                                          ,Bon app',1998,February,78,1979.229998
4,Eastern                                           ,Bon app',1998,May,50,792.75
1,Eastern                                           ,Bon app',1998,January,36,843
2,Eastern                                           ,Bottom-Dollar Markets,1998,March,137,5436
1,Eastern                                           ,Bottom-Dollar Markets,1998,March,26,717.5
1,Eastern                                           ,Bottom-Dollar Markets,1998,April,51,877.725
3,Southern                                          ,Bottom-Dollar Markets,1998,March,85,1447.5
6,Western                                           ,Bottom-Dollar Markets,1998,April,39,1309.5
7,Western                                           ,Bottom-Dollar Markets,1998,April,42,525
6,Western                                           ,Bottom-Dollar Markets,1998,March,41,1025.325
9,Northern                                          ,Bólido Comidas preparadas,1998,March,40,223.9999992
8,Northern                                          ,Cactus Comidas para llevar,1998,April,30,305
4,Eastern                                           ,Cactus Comidas para llevar,1998,February,10,150
2,Eastern                                           ,Cactus Comidas para llevar,1998,January,27,477
7,Western                                           ,Cactus Comidas para llevar,1998,March,28,644.8
4,Eastern                                           ,Chop-suey Chinese,1998,March,32,1098.459994
4,Eastern                                           ,Chop-suey Chinese,1998,April,32,1286.8
3,Southern                                          ,Chop-suey Chinese,1998,April,60,1772.999998
1,Eastern                                           ,Comércio Mineiro,1998,March,9,108
2,Eastern                                           ,Comércio Mineiro,1998,April,19,405.75
7,Western                                           ,Consolidated Holdings,1998,January,33,931.5
8,Northern                                          ,Die Wandernde Kuh,1998,April,53,1485.799999
1,Eastern                                           ,Drachenblut Delikatessen,1998,May,9,86.85
1,Eastern                                           ,Drachenblut Delikatessen,1998,January,32,1030.76
8,Northern                                          ,Drachenblut Delikatessen,1998,April,37,1692
7,Western                                           ,Du monde entier,1998,February,39,860.1
7,Western                                           ,Eastern Connection,1998,April,55,817.875
8,Northern                                          ,Eastern Connection,1998,April,125,3740
8,Northern                                          ,Eastern Connection,1998,March,86,2772
4,Eastern                                           ,Eastern Connection,1998,April,113,1966.81
7,Western                                           ,Ernst Handel,1998,April,181,4680.899997
7,Western                                           ,Ernst Handel,1998,January,172,4705.5
4,Eastern                                           ,Ernst Handel,1998,May,200,5218
2,Eastern                                           ,Ernst Handel,1998,April,256,4288.849974
3,Southern                                          ,Ernst Handel,1998,February,346,6379.4
3,Southern                                          ,Ernst Handel,1998,January,165,2966.499979
9,Northern                                          ,Ernst Handel,1998,April,165,6750
1,Eastern                                           ,Ernst Handel,1998,March,64,1408
8,Northern                                          ,Ernst Handel,1998,March,207,4813.5
7,Western                                           ,Folk och fä HB,1998,April,85,4895.4375
4,Eastern                                           ,Folk och fä HB,1998,March,40,247.9999991
7,Western                                           ,Folk och fä HB,1998,February,110,1499.999994
2,Eastern                                           ,Folk och fä HB,1998,April,116,2769
8,Northern                                          ,Folk och fä HB,1998,April,50,809.9999987
1,Eastern                                           ,Folk och fä HB,1998,February,36,863.4299939
8,Northern                                          ,Folk och fä HB,1998,March,102,2307.4
8,Northern                                          ,Folk och fä HB,1998,January,21,250.8
2,Eastern                                           ,France restauration,1998,March,14,1733.06
3,Southern                                          ,France restauration,1998,January,23,519
2,Eastern                                           ,Franchi S.p.A.,1998,April,14,266
4,Eastern                                           ,Franchi S.p.A.,1998,April,18,1030
1,Eastern                                           ,Frankenversand,1998,April,146,2825.299998
6,Western                                           ,Frankenversand,1998,March,124,1174.75
1,Eastern                                           ,Frankenversand,1998,January,105,1078.6875
9,Northern                                          ,Furia Bacalhau e Frutos do Mar,1998,March,2,57.79999959
1,Eastern                                           ,Galería del gastrónomo,1998,March,10,137.5
8,Northern                                          ,Galería del gastrónomo,1998,February,5,70
7,Western                                           ,Godos Cocina Típica,1998,April,4,60
3,Southern                                          ,Godos Cocina Típica,1998,March,53,2362.25
3,Southern                                          ,Godos Cocina Típica,1998,February,37,858
5,Eastern                                           ,Godos Cocina Típica,1998,February,76,2368.459998
2,Eastern                                           ,Godos Cocina Típica,1998,April,39,616.5
1,Eastern                                           ,Godos Cocina Típica,1998,February,38,605
3,Southern                                          ,Gourmet Lanchonetes,1998,April,14,273.599999
6,Western                                           ,Gourmet Lanchonetes,1998,March,20,131.7499991
3,Southern                                          ,Great Lakes Food Market,1998,March,30,455.9999983
3,Southern                                          ,Great Lakes Food Market,1998,April,10,329.685
4,Eastern                                           ,Great Lakes Food Market,1998,April,35,710
4,Eastern                                           ,Great Lakes Food Market,1998,January,50,8446.449993
7,Western                                           ,HILARION-Abastos,1998,April,70,1727.5
1,Eastern                                           ,HILARION-Abastos,1998,March,20,912
8,Northern                                          ,HILARION-Abastos,1998,March,78,1762.7
3,Southern                                          ,HILARION-Abastos,1998,March,34,265.35
4,Eastern                                           ,HILARION-Abastos,1998,February,92,1375.649997
9,Northern                                          ,Hanari Carnes,1998,April,65,1402
1,Eastern                                           ,Hanari Carnes,1998,March,60,15810
3,Southern                                          ,Hanari Carnes,1998,March,37,475.1499967
3,Southern                                          ,Hanari Carnes,1998,April,40,1331.999995
1,Eastern                                           ,Hanari Carnes,1998,February,145,3127.5
5,Eastern                                           ,Hanari Carnes,1998,March,50,742.5
3,Southern                                          ,Hanari Carnes,1998,February,81,932.05
3,Southern                                          ,Hungry Owl All-Night Grocers,1998,February,116,10835.24
2,Eastern                                           ,Hungry Owl All-Night Grocers,1998,March,79,2023.379997
2,Eastern                                           ,Hungry Owl All-Night Grocers,1998,February,100,6200.55
3,Southern                                          ,Hungry Owl All-Night Grocers,1998,April,100,1342.949998
9,Northern                                          ,Island Trading,1998,January,61,1764
6,Western                                           ,Island Trading,1998,March,32,920.6
3,Southern                                          ,Königlich Essen,1998,January,155,10952.84498
2,Eastern                                           ,Königlich Essen,1998,April,59,2160
9,Northern                                          ,Königlich Essen,1998,January,67,967.8189966
9,Northern                                          ,Königlich Essen,1998,February,119,5502.11
8,Northern                                          ,LILA-Supermercado,1998,May,24,189.42
8,Northern                                          ,LILA-Supermercado,1998,April,90,1885
1,Eastern                                           ,LILA-Supermercado,1998,May,25,484.4999996
5,Eastern                                           ,LILA-Supermercado,1998,February,8,122.3999991
5,Eastern                                           ,LILA-Supermercado,1998,January,90,2825.999996
3,Southern                                          ,LINO-Delicateses,1998,January,79,1938.375
8,Northern                                          ,LINO-Delicateses,1998,January,63,852
